,Ticker,CIK
342,alpe,1023298
343,alpn,1626199
344,alpp,1606698
345,alp-pq,3153
346,alpvn,3153
347,alr,1145460
348,alrm,1459200
349,alrn,1420565
350,alrs,903419
351,alrt,1087022
352,alsk,1089511
353,alsn,1411207
354,alt,1326190
355,altd,1664127
356,altg,1759824
357,altg-wt,1759824
358,altm,1692787
359,altn,1621499
360,altr,1701732
361,altx,775057
362,alus,1781115
363,alus-un,1781115
364,alus-wt,1781115
365,alv,1034670
366,alx,3499
367,alxn,899866
368,alya,1734520
369,alye,946822
370,am,1623925
371,amag,792977
372,amar,1014763
373,amat,6951
374,amaz,1375618
375,amba,1280263
376,ambc,874501
377,ambc-wt,874501
378,ambo,1494558
379,amc,1411579
380,amci,1744494
381,amciu,1744494
382,amciw,1744494
383,amcr,1748790
384,amct,1626556
385,amcx,1514991
386,amd,2488
387,ame,1037868
388,amed,896262
389,ameh,1083446
390,amg,1004434
391,amgn,318154
392,amh,1562401
393,amhc,1788028
394,amhcu,1788028
395,amhcw,1788028
396,amih,1300524
397,amj,19617
398,amjl,1053092
399,amk,1591587
400,amkr,1047127
401,ammj,945617
402,ammx,1776048
403,amn,1142750
404,amnb,741516
405,amnl,8328
406,amot,46129
407,amov,1129137
408,amp,820027
409,ampe,1411906
410,ampg,1518461
411,amph,1297184
412,ampo,1554054
413,ampy,1533924
414,amrb,1108236
415,amrc,1488139
416,amrh,890821
417,amri,1065087
418,amrk,1591588
419,amrn,897448
420,amrqq,1690769
421,amrs,1365916
422,amrwq,1690769
423,amrww,1690769
424,amrx,1723128
425,ams,744825
426,amsc,880807
427,amsf,1018979
428,amsu,1142801
429,amswa,713425
430,amt,1053507
431,amtb,1734342
432,amtbb,1734342
433,amtd,1173431
434,amti,1801777
435,amtx,738214
436,amty,945828
437,amu,1114446
438,amub,1114446
439,amwd,794619
440,amx,1129137
441,amzn,1018724
442,an,350698
443,anab,1370053
444,anat,904163
445,anav,1491829
446,ancn,1534248
447,ancx,1176316
448,anda,1691936
449,ande,821026
450,andr,6494
451,anet,1596532
452,anf,1018840
453,anfc,1490161
454,angi,1705110
455,ango,1275187
456,anh,1047884
457,anik,898437
458,anip,1023024
