,No.,Company,Format,Form Type,Filing Date,Size,Link,CIK,Ticker
0,152,12 West Capital Management LP,[text] [html],SC 13G/A,02/14/2020,39360,/Archives/edgar/data/1540531/000090571820000252/0000905718-20-000252-index.htm,0001540531,NOT IN LIST
1,152,12 West Capital Management LP,[text] [html],SC 13G,03/07/2019,44637,/Archives/edgar/data/1540531/000090571819000272/0000905718-19-000272-index.htm,0001540531,NOT IN LIST
2,152,"1218 Havemeyer Avenue, LLC",[text] [html],3,05/07/2007,6692,/Archives/edgar/data/1398518/000089843207000377/0000898432-07-000377-index.htm,0000894558,NOT IN LIST
3,152,"12K, LLC",[text] [html],4,12/24/2008,21310,/Archives/edgar/data/1386953/000109489108000225/0001094891-08-000225-index.htm,0001318862,NOT IN LIST
4,152,"12K, LLC",[text] [html],SC 13D,01/29/2007,258261,/Archives/edgar/data/1386953/000095013607000475/0000950136-07-000475-index.htm,0001318862,NOT IN LIST
5,152,"12K, LLC",[text] [html],4,01/22/2007,6694,/Archives/edgar/data/1386953/000109489107000040/0001094891-07-000040-index.htm,0001318862,NOT IN LIST
6,152,"12K, LLC",[text] [html],3,01/18/2007,6930,/Archives/edgar/data/1386953/000109489107000036/0001094891-07-000036-index.htm,0001318862,NOT IN LIST
7,152,1347 Capital Corp,[text] [html],8-K,07/18/2016,65470,/Archives/edgar/data/1606163/000114420416113345/0001144204-16-113345-index.htm,0001606163,lmb US Equity
8,241,1347 Capital Corp,[text] [html],425,07/18/2016,65819,/Archives/edgar/data/1606163/000114420416113346/0001144204-16-113346-index.htm,0001606163,lmb US Equity
9,152,1347 Capital Corp,[text] [html],424B3,07/18/2016,66826,/Archives/edgar/data/1606163/000114420416113347/0001144204-16-113347-index.htm,0001606163,lmb US Equity
10,152,1347 Capital Corp,[text] [html],424B3,07/13/2016,101354,/Archives/edgar/data/1606163/000114420416112765/0001144204-16-112765-index.htm,0001606163,lmb US Equity
11,152,1347 Capital Corp,[text] [html],8-K,07/13/2016,100363,/Archives/edgar/data/1606163/000114420416112748/0001144204-16-112748-index.htm,0001606163,lmb US Equity
12,241,1347 Capital Corp,[text] [html],425,07/13/2016,100534,/Archives/edgar/data/1606163/000114420416112749/0001144204-16-112749-index.htm,0001606163,lmb US Equity
13,152,1347 Capital Corp,[text] [html],4,07/11/2016,6577,/Archives/edgar/data/1606163/000114420416112471/0001144204-16-112471-index.htm,0001409889,NOT IN LIST
