,No.,Company,Format,Form Type,Filing Date,Size,Link,CIK
0,152,12 West Capital Management LP,[text] [html],SC 13G/A,02/14/2020,39360,/Archives/edgar/data/1540531/000090571820000252/0000905718-20-000252-index.htm,0001540531
1,152,12 West Capital Management LP,[text] [html],SC 13G,03/07/2019,44637,/Archives/edgar/data/1540531/000090571819000272/0000905718-19-000272-index.htm,0001540531
2,152,"1218 Havemeyer Avenue, LLC",[text] [html],3,05/07/2007,6692,/Archives/edgar/data/1398518/000089843207000377/0000898432-07-000377-index.htm,0000894558
3,152,"12K, LLC",[text] [html],4,12/24/2008,21310,/Archives/edgar/data/1386953/000109489108000225/0001094891-08-000225-index.htm,0001318862
4,152,"12K, LLC",[text] [html],SC 13D,01/29/2007,258261,/Archives/edgar/data/1386953/000095013607000475/0000950136-07-000475-index.htm,0001318862
5,152,"12K, LLC",[text] [html],4,01/22/2007,6694,/Archives/edgar/data/1386953/000109489107000040/0001094891-07-000040-index.htm,0001318862
6,152,"12K, LLC",[text] [html],3,01/18/2007,6930,/Archives/edgar/data/1386953/000109489107000036/0001094891-07-000036-index.htm,0001318862
7,152,1347 Capital Corp,[text] [html],8-K,07/18/2016,65470,/Archives/edgar/data/1606163/000114420416113345/0001144204-16-113345-index.htm,0001606163
8,241,1347 Capital Corp,[text] [html],425,07/18/2016,65819,/Archives/edgar/data/1606163/000114420416113346/0001144204-16-113346-index.htm,0001606163
9,152,1347 Capital Corp,[text] [html],424B3,07/18/2016,66826,/Archives/edgar/data/1606163/000114420416113347/0001144204-16-113347-index.htm,0001606163
10,152,1347 Capital Corp,[text] [html],424B3,07/13/2016,101354,/Archives/edgar/data/1606163/000114420416112765/0001144204-16-112765-index.htm,0001606163
11,152,1347 Capital Corp,[text] [html],8-K,07/13/2016,100363,/Archives/edgar/data/1606163/000114420416112748/0001144204-16-112748-index.htm,0001606163
12,241,1347 Capital Corp,[text] [html],425,07/13/2016,100534,/Archives/edgar/data/1606163/000114420416112749/0001144204-16-112749-index.htm,0001606163
13,152,1347 Capital Corp,[text] [html],4,07/11/2016,6577,/Archives/edgar/data/1606163/000114420416112471/0001144204-16-112471-index.htm,0001409889
14,152,1347 Capital Corp,[text] [html],4/A,07/11/2016,6940,/Archives/edgar/data/1606163/000114420416112468/0001144204-16-112468-index.htm,0001409889
15,152,1347 Capital Corp,[text] [html],4,07/06/2016,6576,/Archives/edgar/data/1606163/000114420416111836/0001144204-16-111836-index.htm,0001409889
16,152,1347 Capital Corp,[text] [html],8-K,06/29/2016,38554,/Archives/edgar/data/1606163/000114420416110598/0001144204-16-110598-index.htm,0001606163
17,241,1347 Capital Corp,[text] [html],425,06/29/2016,38965,/Archives/edgar/data/1606163/000114420416110599/0001144204-16-110599-index.htm,0001606163
18,241,1347 Capital Corp,[text] [html],425,06/24/2016,38939,/Archives/edgar/data/1606163/000114420416109610/0001144204-16-109610-index.htm,0001606163
19,152,1347 Capital Corp,[text] [html],8-K,06/24/2016,38528,/Archives/edgar/data/1606163/000114420416109609/0001144204-16-109609-index.htm,0001606163
20,152,1347 Capital Corp,[text] [html],4,06/23/2016,12271,/Archives/edgar/data/1606163/000114420416109565/0001144204-16-109565-index.htm,0001409889
21,152,1347 Capital Corp,[text] [html],4,06/21/2016,6578,/Archives/edgar/data/1606163/000114420416109196/0001144204-16-109196-index.htm,0001409889
22,152,1347 Capital Corp,[text] [html],424B3,06/16/2016,5541977,/Archives/edgar/data/1606163/000114420416108461/0001144204-16-108461-index.htm,0001606163
23,152,1347 Capital Corp,[text] [html],EFFECT,06/16/2016,1642,/Archives/edgar/data/1606163/999999999516004917/9999999995-16-004917-index.htm,0001606163
24,152,1347 Capital Corp,[text] [html],CORRESP,06/14/2016,9436,/Archives/edgar/data/1606163/000114420416108115/0001144204-16-108115-index.htm,0001606163
25,152,1347 Capital Corp,[text] [html],S-4/A,06/10/2016,156921,/Archives/edgar/data/1606163/000114420416107917/0001144204-16-107917-index.htm,0001606163
26,152,1347 Capital Corp,[text] [html],S-4/A,06/08/2016,8664337,/Archives/edgar/data/1606163/000114420416107557/0001144204-16-107557-index.htm,0001606163
27,152,1347 Capital Corp,[text] [html],CORRESP,06/08/2016,44380,/Archives/edgar/data/1606163/000114420416107558/0001144204-16-107558-index.htm,0001606163
28,241,1347 Capital Corp,[text] [html],425,06/07/2016,3696868,/Archives/edgar/data/1606163/000114420416107183/0001144204-16-107183-index.htm,0001606163
29,152,1347 Capital Corp,[text] [html],CORRESP,06/06/2016,27236,/Archives/edgar/data/1606163/000114420416106890/0001144204-16-106890-index.htm,0001606163
30,152,1347 Capital Corp,[text] [html],8-K,06/06/2016,3719804,/Archives/edgar/data/1606163/000114420416107094/0001144204-16-107094-index.htm,0001606163
31,152,1347 Capital Corp,[text] [html],S-4/A,06/01/2016,8273652,/Archives/edgar/data/1606163/000114420416106278/0001144204-16-106278-index.htm,0001606163
32,152,1347 Capital Corp,[text] [html],CORRESP,06/01/2016,73852,/Archives/edgar/data/1606163/000114420416106269/0001144204-16-106269-index.htm,0001606163
33,152,1347 Capital Corp,[text] [html],8-K,05/31/2016,39160,/Archives/edgar/data/1606163/000114420416105874/0001144204-16-105874-index.htm,0001606163
34,241,1347 Capital Corp,[text] [html],425,05/31/2016,39571,/Archives/edgar/data/1606163/000114420416105875/0001144204-16-105875-index.htm,0001606163
35,152,1347 Capital Corp,[text] [html],S-4/A,05/19/2016,3954396,/Archives/edgar/data/1606163/000114420416103705/0001144204-16-103705-index.htm,0001606163
36,152,1347 Capital Corp,[text] [html],CORRESP,05/19/2016,92913,/Archives/edgar/data/1606163/000114420416103707/0001144204-16-103707-index.htm,0001606163
37,152,1347 Capital Corp,[text] [html],10-Q,05/09/2016,1558647,/Archives/edgar/data/1606163/000114420416099889/0001144204-16-099889-index.htm,0001606163
38,241,1347 Capital Corp,[text] [html],425,04/25/2016,5475132,/Archives/edgar/data/1606163/000114420416095905/0001144204-16-095905-index.htm,0001606163
39,152,1347 Capital Corp,[text] [html],8-K,04/25/2016,5085687,/Archives/edgar/data/1606163/000114420416095899/0001144204-16-095899-index.htm,0001606163
40,152,1347 Capital Corp,[text] [html],S-4,04/15/2016,3726072,/Archives/edgar/data/1606163/000114420416094638/0001144204-16-094638-index.htm,0001606163
41,152,1347 Capital Corp,[text] [html],8-K,03/29/2016,679160,/Archives/edgar/data/1606163/000114420416090921/0001144204-16-090921-index.htm,0001606163
42,241,1347 Capital Corp,[text] [html],425,03/29/2016,679482,/Archives/edgar/data/1606163/000114420416090922/0001144204-16-090922-index.htm,0001606163
43,241,1347 Capital Corp,[text] [html],425,03/23/2016,58263,/Archives/edgar/data/1606163/000114420416089703/0001144204-16-089703-index.htm,0001606163
44,152,1347 Capital Corp,[text] [html],8-K,03/23/2016,72417,/Archives/edgar/data/1606163/000114420416089694/0001144204-16-089694-index.htm,0001606163
45,152,1347 Capital Corp,[text] [html],10-K,03/21/2016,1905828,/Archives/edgar/data/1606163/000114420416089184/0001144204-16-089184-index.htm,0001606163
46,152,1347 Capital Corp,[text] [html],SC 13G/A,02/16/2016,29859,/Archives/edgar/data/1606163/000108514616003301/0001085146-16-003301-index.htm,0001167557
47,152,1347 Capital Corp,[text] [html],SC 13G,02/16/2016,93879,/Archives/edgar/data/1606163/000110465916096878/0001104659-16-096878-index.htm,0001326638
48,152,1347 Capital Corp,[text] [html],SC 13G/A,02/16/2016,29859,/Archives/edgar/data/1606163/000108514616003278/0001085146-16-003278-index.htm,0001167557
49,152,1347 Capital Corp,[text] [html],SC 13G/A,02/16/2016,22674,/Archives/edgar/data/1606163/000106299316007899/0001062993-16-007899-index.htm,0001326389
50,152,1347 Capital Corp,[text] [html],8-K,01/12/2016,14860,/Archives/edgar/data/1606163/000114420416075239/0001144204-16-075239-index.htm,0001606163
51,152,1347 Capital Corp,[text] [html],8-K,12/23/2015,19423,/Archives/edgar/data/1606163/000114420415072574/0001144204-15-072574-index.htm,0001606163
52,152,1347 Capital Corp,[text] [html],DEF 14A,12/11/2015,371202,/Archives/edgar/data/1606163/000114420415070432/0001144204-15-070432-index.htm,0001606163
53,152,1347 Capital Corp,[text] [html],10-Q,11/12/2015,1471633,/Archives/edgar/data/1606163/000114420415064765/0001144204-15-064765-index.htm,0001606163
54,152,1347 Capital Corp,[text] [html],10-Q,08/12/2015,1458431,/Archives/edgar/data/1606163/000114420415048537/0001144204-15-048537-index.htm,0001606163
55,152,1347 Capital Corp,[text] [html],8-K,07/20/2015,16854,/Archives/edgar/data/1606163/000114420415043249/0001144204-15-043249-index.htm,0001606163
56,152,1347 Capital Corp,[text] [html],SC 13G,06/18/2015,77383,/Archives/edgar/data/1606163/000119312515226613/0001193125-15-226613-index.htm,0001357550
57,152,1347 Capital Corp,[text] [html],10-Q,05/08/2015,1893546,/Archives/edgar/data/1606163/000114420415028842/0001144204-15-028842-index.htm,0001606163
58,152,1347 Capital Corp,[text] [html],10-K,03/10/2015,2322460,/Archives/edgar/data/1606163/000114420415015101/0001144204-15-015101-index.htm,0001606163
59,152,1347 Capital Corp,[text] [html],SC 13D/A,02/25/2015,85407,/Archives/edgar/data/1606163/000091476015000072/0000914760-15-000072-index.htm,0001606163
60,152,1347 Capital Corp,[text] [html],SC 13G,02/17/2015,45997,/Archives/edgar/data/1606163/000090266415001156/0000902664-15-001156-index.htm,0001056491
61,152,1347 Capital Corp,[text] [html],SC 13G,02/17/2015,26471,/Archives/edgar/data/1606163/000108514615000638/0001085146-15-000638-index.htm,0001167557
62,152,1347 Capital Corp,[text] [html],SC 13G/A,02/17/2015,16008,/Archives/edgar/data/1606163/000107680915000008/0001076809-15-000008-index.htm,0001076809
63,152,1347 Capital Corp,[text] [html],SC 13G/A,02/13/2015,58023,/Archives/edgar/data/1606163/000106299315000813/0001062993-15-000813-index.htm,0001326389
64,152,1347 Capital Corp,[text] [html],SC 13G,02/12/2015,93092,/Archives/edgar/data/1606163/000110465915009238/0001104659-15-009238-index.htm,0001326638
65,152,1347 Capital Corp,[text] [html],4,02/10/2015,4360,/Archives/edgar/data/1606163/000091476015000030/0000914760-15-000030-index.htm,0001409889
66,152,1347 Capital Corp,[text] [html],4,02/10/2015,4353,/Archives/edgar/data/1606163/000091476015000031/0000914760-15-000031-index.htm,0001584349
67,152,1347 Capital Corp,[text] [html],4,02/10/2015,4419,/Archives/edgar/data/1606163/000091476015000032/0000914760-15-000032-index.htm,0001602009
68,152,1347 Capital Corp,[text] [html],4,02/10/2015,13080,/Archives/edgar/data/1606163/000091476015000025/0000914760-15-000025-index.htm,0001529638
69,152,1347 Capital Corp,[text] [html],4,02/10/2015,12961,/Archives/edgar/data/1606163/000091476015000026/0000914760-15-000026-index.htm,0001409891
70,152,1347 Capital Corp,[text] [html],4,02/10/2015,12620,/Archives/edgar/data/1606163/000091476015000027/0000914760-15-000027-index.htm,0001606163
71,152,1347 Capital Corp,[text] [html],4,02/10/2015,4347,/Archives/edgar/data/1606163/000091476015000028/0000914760-15-000028-index.htm,0001409890
72,152,1347 Capital Corp,[text] [html],4,02/10/2015,4349,/Archives/edgar/data/1606163/000091476015000029/0000914760-15-000029-index.htm,0001606163
73,152,1347 Capital Corp,[text] [html],10-Q,10/20/2014,1697269,/Archives/edgar/data/1606163/000114420414061926/0001144204-14-061926-index.htm,0001606163
74,152,1347 Capital Corp,[text] [html],10-Q,08/14/2014,1471508,/Archives/edgar/data/1606163/000114420414050153/0001144204-14-050153-index.htm,0001606163
75,152,1347 Capital Corp,[text] [html],8-K,08/06/2014,31785,/Archives/edgar/data/1606163/000114420414047154/0001144204-14-047154-index.htm,0001606163
76,152,1347 Capital Corp,[text] [html],SC 13D,07/31/2014,95538,/Archives/edgar/data/1606163/000091476014000068/0000914760-14-000068-index.htm,0001606163
77,152,1347 Capital Corp,[text] [html],SC 13G,07/28/2014,15623,/Archives/edgar/data/1606163/000107680914000009/0001076809-14-000009-index.htm,0001076809
78,152,1347 Capital Corp,[text] [html],8-K,07/25/2014,81785,/Archives/edgar/data/1606163/000114420414044953/0001144204-14-044953-index.htm,0001606163
79,152,1347 Capital Corp,[text] [html],SC 13G,07/25/2014,59915,/Archives/edgar/data/1606163/000106299314004368/0001062993-14-004368-index.htm,0001326389
80,152,1347 Capital Corp,[text] [html],SC 13G,07/24/2014,147584,/Archives/edgar/data/1606163/000090266414003240/0000902664-14-003240-index.htm,0000928549
81,152,1347 Capital Corp,[text] [html],4,07/23/2014,21486,/Archives/edgar/data/1606163/000091476014000062/0000914760-14-000062-index.htm,0001409891
82,152,1347 Capital Corp,[text] [html],4,07/23/2014,21610,/Archives/edgar/data/1606163/000091476014000063/0000914760-14-000063-index.htm,0001606163
83,152,1347 Capital Corp,[text] [html],4,07/23/2014,21631,/Archives/edgar/data/1606163/000091476014000064/0000914760-14-000064-index.htm,0001529638
84,152,1347 Capital Corp,[text] [html],8-K,07/21/2014,1278935,/Archives/edgar/data/1606163/000114420414043964/0001144204-14-043964-index.htm,0001606163
85,152,1347 Capital Corp,[text] [html],424B4,07/16/2014,1371966,/Archives/edgar/data/1606163/000114420414043307/0001144204-14-043307-index.htm,0001606163
86,152,1347 Capital Corp,[text] [html],3,07/15/2014,7739,/Archives/edgar/data/1606163/000091476014000060/0000914760-14-000060-index.htm,0001409890
87,152,1347 Capital Corp,[text] [html],3,07/15/2014,7666,/Archives/edgar/data/1606163/000091476014000053/0000914760-14-000053-index.htm,0001606163
88,152,1347 Capital Corp,[text] [html],EFFECT,07/15/2014,1615,/Archives/edgar/data/1606163/999999999514002134/9999999995-14-002134-index.htm,0001606163
89,152,1347 Capital Corp,[text] [html],3,07/15/2014,8600,/Archives/edgar/data/1606163/000091476014000054/0000914760-14-000054-index.htm,0001529638
90,152,1347 Capital Corp,[text] [html],3,07/15/2014,7888,/Archives/edgar/data/1606163/000091476014000055/0000914760-14-000055-index.htm,0001602009
91,152,1347 Capital Corp,[text] [html],3,07/15/2014,8207,/Archives/edgar/data/1606163/000091476014000056/0000914760-14-000056-index.htm,0001584349
92,152,1347 Capital Corp,[text] [html],3,07/15/2014,21675,/Archives/edgar/data/1606163/000091476014000057/0000914760-14-000057-index.htm,0001606163
93,152,1347 Capital Corp,[text] [html],3,07/15/2014,7752,/Archives/edgar/data/1606163/000091476014000058/0000914760-14-000058-index.htm,0001409889
94,152,1347 Capital Corp,[text] [html],3,07/15/2014,8658,/Archives/edgar/data/1606163/000091476014000059/0000914760-14-000059-index.htm,0001409891
95,152,1347 Capital Corp,[text] [html],CORRESP,07/14/2014,5950,/Archives/edgar/data/1606163/000114420414042841/0001144204-14-042841-index.htm,0001606163
96,152,1347 Capital Corp,[text] [html],8-A12B,07/14/2014,26074,/Archives/edgar/data/1606163/000114420414042851/0001144204-14-042851-index.htm,0001606163
97,152,1347 Capital Corp,[text] [html],CERTNAS,07/14/2014,1229,/Archives/edgar/data/1606163/999999999714011913/9999999997-14-011913-index.htm,0001606163
98,152,1347 Capital Corp,[text] [html],CORRESP,07/14/2014,10958,/Archives/edgar/data/1606163/000114420414042837/0001144204-14-042837-index.htm,0001606163
99,152,1347 Capital Corp,[text] [html],CORRESP,07/14/2014,7012,/Archives/edgar/data/1606163/000114420414042839/0001144204-14-042839-index.htm,0001606163
100,152,1347 Capital Corp,[text] [html],S-1/A,06/30/2014,2832741,/Archives/edgar/data/1606163/000114420414040190/0001144204-14-040190-index.htm,0001606163
0,152,1347 Capital Corp,[text] [html],S-1/A,06/30/2014,2832741,/Archives/edgar/data/1606163/000114420414040190/0001144204-14-040190-index.htm,0001606163
1,152,1347 Capital Corp,[text] [html],CORRESP,06/27/2014,42471,/Archives/edgar/data/1606163/000114420414040192/0001144204-14-040192-index.htm,0001606163
2,152,1347 Capital Corp,[text] [html],UPLOAD,06/25/2014,293592,/Archives/edgar/data/1606163/000000000014032251/0000000000-14-032251-index.htm,0001606163
3,152,1347 Capital Corp,[text] [html],CORRESP,06/06/2014,62156,/Archives/edgar/data/1606163/000114420414036320/0001144204-14-036320-index.htm,0001606163
4,152,1347 Capital Corp,[text] [html],S-1/A,06/06/2014,1450802,/Archives/edgar/data/1606163/000114420414036288/0001144204-14-036288-index.htm,0001606163
5,152,1347 Capital Corp,[text] [html],UPLOAD,06/02/2014,315796,/Archives/edgar/data/1606163/000000000014027752/0000000000-14-027752-index.htm,0001606163
6,152,1347 Capital LLC,[text] [html],4,08/04/2016,15856,/Archives/edgar/data/1612412/000114420416116431/0001144204-16-116431-index.htm,0001606163
7,152,1347 Capital LLC,[text] [html],4,02/10/2015,12620,/Archives/edgar/data/1612412/000091476015000027/0000914760-15-000027-index.htm,0001606163
8,152,1347 Capital LLC,[text] [html],4,07/23/2014,21610,/Archives/edgar/data/1612412/000091476014000063/0000914760-14-000063-index.htm,0001606163
9,152,1347 Capital LLC,[text] [html],3,07/15/2014,21675,/Archives/edgar/data/1612412/000091476014000057/0000914760-14-000057-index.htm,0001606163
10,152,1347 Investors LLC,[text] [html],SC 13D/A,08/05/2016,1169600,/Archives/edgar/data/1612411/000114420416116840/0001144204-16-116840-index.htm,0001606163
11,152,1347 Investors LLC,[text] [html],4,08/04/2016,19300,/Archives/edgar/data/1612411/000114420416116436/0001144204-16-116436-index.htm,0001606163
12,152,1347 Investors LLC,[text] [html],4,07/21/2016,6070,/Archives/edgar/data/1612411/000114420416113955/0001144204-16-113955-index.htm,0001606163
13,152,1347 Investors LLC,[text] [html],SC 13D/A,02/25/2015,85407,/Archives/edgar/data/1612411/000091476015000072/0000914760-15-000072-index.htm,0001606163
14,152,1347 Investors LLC,[text] [html],4,02/10/2015,12620,/Archives/edgar/data/1612411/000091476015000027/0000914760-15-000027-index.htm,0001606163
15,152,1347 Investors LLC,[text] [html],SC 13D,07/31/2014,95538,/Archives/edgar/data/1612411/000091476014000068/0000914760-14-000068-index.htm,0001606163
16,152,1347 Investors LLC,[text] [html],4,07/23/2014,21610,/Archives/edgar/data/1612411/000091476014000063/0000914760-14-000063-index.htm,0001606163
17,152,1347 Investors LLC,[text] [html],3,07/15/2014,21675,/Archives/edgar/data/1612411/000091476014000057/0000914760-14-000057-index.htm,0001606163
18,152,1397225 Ontario Ltd,[text] [html],3,12/30/2019,12297,/Archives/edgar/data/1798354/000138713119009964/0001387131-19-009964-index.htm,0000937567
19,152,1600624 Ontario Inc.,[text] [html],3,05/17/2007,4682,/Archives/edgar/data/1399556/000092963807000308/0000929638-07-000308-index.htm,0001368879
20,152,161 STREET & RIVER LLC,[text] [html],4,10/11/2002,11894,/Archives/edgar/data/1187794/000111650202001469/0001116502-02-001469-index.htm,0001119190
21,152,161 STREET & RIVER LLC,[text] [html],SC 13G/A,10/11/2002,12855,/Archives/edgar/data/1187794/000111650202001473/0001116502-02-001473-index.htm,0001119190
22,152,161 STREET & RIVER LLC,[text] [html],3,09/11/2002,9520,/Archives/edgar/data/1187794/000111650202001346/0001116502-02-001346-index.htm,0001119190
23,152,161 STREET & RIVER LLC,[text] [html],SC 13G,09/11/2002,10026,/Archives/edgar/data/1187794/000111650202001344/0001116502-02-001344-index.htm,0001119190
24,152,"1701 Productions, Inc.",[text] [html],3,09/24/2015,3606,/Archives/edgar/data/1558916/000102143215000900/0001021432-15-000900-index.htm,0001558916
25,152,"1701 Productions, Inc.",[text] [html],SC 13G/A,09/24/2015,8311,/Archives/edgar/data/1558916/000102143215000830/0001021432-15-000830-index.htm,0001558916
26,152,"1701 Productions, Inc.",[text] [html],4,09/24/2015,4513,/Archives/edgar/data/1558916/000102143215000901/0001021432-15-000901-index.htm,0001558916
27,152,"1701 Productions, Inc.",[text] [html],SC 13G,09/24/2015,8235,/Archives/edgar/data/1558916/000102143215000829/0001021432-15-000829-index.htm,0001558916
28,152,"1701 Productions, Inc.",[text] [html],SC 13G,09/16/2015,8037,/Archives/edgar/data/1558916/000102143215000372/0001021432-15-000372-index.htm,0001450604
29,152,"1701 Productions, Inc.",[text] [html],SC 13G,09/16/2015,8048,/Archives/edgar/data/1558916/000102143215000373/0001021432-15-000373-index.htm,0001084458
30,152,"1701 Productions, Inc.",[text] [html],SC 13G,09/16/2015,8295,/Archives/edgar/data/1558916/000102143215000374/0001021432-15-000374-index.htm,0001435910
31,152,"1701 Productions, Inc.",[text] [html],SC 13G/A,09/16/2015,8123,/Archives/edgar/data/1558916/000102143215000375/0001021432-15-000375-index.htm,0001450604
32,152,"1701 Productions, Inc.",[text] [html],SC 13G/A,09/16/2015,8118,/Archives/edgar/data/1558916/000102143215000376/0001021432-15-000376-index.htm,0001084458
33,152,"1701 Productions, Inc.",[text] [html],SC 13G/A,09/16/2015,8364,/Archives/edgar/data/1558916/000102143215000377/0001021432-15-000377-index.htm,0001435910
34,152,"1701 Productions, Inc.",[text] [html],4,02/20/2014,4545,/Archives/edgar/data/1558916/000102143214000080/0001021432-14-000080-index.htm,0001084458
35,152,"1701 Productions, Inc.",[text] [html],4,02/20/2014,4505,/Archives/edgar/data/1558916/000102143214000081/0001021432-14-000081-index.htm,0001435910
36,152,"1701 Productions, Inc.",[text] [html],4,02/20/2014,4538,/Archives/edgar/data/1558916/000102143214000101/0001021432-14-000101-index.htm,0001450604
37,152,"1701 Productions, Inc.",[text] [html],10-Q,11/18/2013,127630,/Archives/edgar/data/1558916/000114420413062707/0001144204-13-062707-index.htm,0001558916
38,152,"1701 Productions, Inc.",[text] [html],NT 10-Q,11/14/2013,5358,/Archives/edgar/data/1558916/000102143213000279/0001021432-13-000279-index.htm,0001558916
39,152,"1701 Productions, Inc.",[text] [html],8-K,09/13/2013,6801,/Archives/edgar/data/1558916/000102143213000241/0001021432-13-000241-index.htm,0001558916
40,152,180 Connect Inc.,[text] [html],SC 13D/A,02/19/2008,659139,/Archives/edgar/data/1323639/000114420408010571/0001144204-08-010571-index.htm,0001113524
41,152,180 Connect Inc.,[text] [html],SC 13D,02/01/2008,7342003,/Archives/edgar/data/1323639/000114420408005807/0001144204-08-005807-index.htm,0001113524
42,152,180 Connect Inc.,[text] [html],4,02/01/2008,5859,/Archives/edgar/data/1323639/000114420408005810/0001144204-08-005810-index.htm,0001113524
43,152,180 Connect Inc.,[text] [html],3,01/31/2008,4082,/Archives/edgar/data/1323639/000114420408005477/0001144204-08-005477-index.htm,0001113524
44,152,180 Connect Inc.,[text] [html],SC 13G,09/14/2007,23541,/Archives/edgar/data/1323639/000114420407049494/0001144204-07-049494-index.htm,0001189294
45,152,180 Connect Inc.,[text] [html],POS AM,09/13/2007,148039,/Archives/edgar/data/1323639/000095014407008550/0000950144-07-008550-index.htm,0001323639
46,152,180 Connect Inc.,[text] [html],POS AM,09/13/2007,135762,/Archives/edgar/data/1323639/000095014407008551/0000950144-07-008551-index.htm,0001323639
47,152,180 Connect Inc.,[text] [html],8-K/A,09/11/2007,17567,/Archives/edgar/data/1323639/000095014407008506/0000950144-07-008506-index.htm,0001323639
48,152,180 Connect Inc.,[text] [html],CORRESP,09/11/2007,10069,/Archives/edgar/data/1323639/000095014407008508/0000950144-07-008508-index.htm,0001323639
49,152,180 Connect Inc.,[text] [html],8-K,09/10/2007,150262,/Archives/edgar/data/1323639/000095014407008481/0000950144-07-008481-index.htm,0001323639
50,152,180 Connect Inc.,[text] [html],4,09/06/2007,8066,/Archives/edgar/data/1323639/000117911007017937/0001179110-07-017937-index.htm,0001323639
51,152,180 Connect Inc.,[text] [html],4,09/06/2007,8066,/Archives/edgar/data/1323639/000117911007017938/0001179110-07-017938-index.htm,0001323639
52,152,180 Connect Inc.,[text] [html],4,09/06/2007,8617,/Archives/edgar/data/1323639/000117911007017939/0001179110-07-017939-index.htm,0001323639
53,152,180 Connect Inc.,[text] [html],4,09/06/2007,8638,/Archives/edgar/data/1323639/000117911007017940/0001179110-07-017940-index.htm,0001323639
54,152,180 Connect Inc.,[text] [html],4,09/05/2007,4888,/Archives/edgar/data/1323639/000124323307000028/0001243233-07-000028-index.htm,0001323639
55,152,180 Connect Inc.,[text] [html],SC 13D,09/05/2007,210683,/Archives/edgar/data/1323639/000090514807005912/0000905148-07-005912-index.htm,0001323639
56,152,180 Connect Inc.,[text] [html],3,09/05/2007,13793,/Archives/edgar/data/1323639/000090514807005924/0000905148-07-005924-index.htm,0001323639
57,152,180 Connect Inc.,[text] [html],SC 13D/A,09/04/2007,148288,/Archives/edgar/data/1323639/000114420407047779/0001144204-07-047779-index.htm,0001134492
58,152,180 Connect Inc.,[text] [html],SC 13D,09/04/2007,68279,/Archives/edgar/data/1323639/000113241307000253/0001132413-07-000253-index.htm,0001132413
59,152,180 Connect Inc.,[text] [html],4,08/30/2007,9147,/Archives/edgar/data/1323639/000124323307000026/0001243233-07-000026-index.htm,0001134492
60,152,180 Connect Inc.,[text] [html],8-K,08/30/2007,10062,/Archives/edgar/data/1323639/000095014407008305/0000950144-07-008305-index.htm,0001323639
61,152,180 Connect Inc.,[text] [html],SC 13D/A,08/30/2007,147884,/Archives/edgar/data/1323639/000114420407047328/0001144204-07-047328-index.htm,0001134492
62,152,180 Connect Inc.,[text] [html],8-K,08/30/2007,1633432,/Archives/edgar/data/1323639/000095014407008296/0000950144-07-008296-index.htm,0001323639
63,152,180 Connect Inc.,[text] [html],SC 13G/A,08/27/2007,20479,/Archives/edgar/data/1323639/000129898307000064/0001298983-07-000064-index.htm,0001298983
64,152,180 Connect Inc.,[text] [html],3,08/27/2007,11874,/Archives/edgar/data/1323639/000117911007017404/0001179110-07-017404-index.htm,0001323639
65,152,180 Connect Inc.,[text] [html],3,08/27/2007,11827,/Archives/edgar/data/1323639/000117911007017402/0001179110-07-017402-index.htm,0001323639
66,152,180 Connect Inc.,[text] [html],4,08/27/2007,7674,/Archives/edgar/data/1323639/000117911007017401/0001179110-07-017401-index.htm,0001323639
67,152,180 Connect Inc.,[text] [html],4,08/27/2007,7530,/Archives/edgar/data/1323639/000117911007017395/0001179110-07-017395-index.htm,0001323639
68,152,180 Connect Inc.,[text] [html],4,08/27/2007,7697,/Archives/edgar/data/1323639/000117911007017397/0001179110-07-017397-index.htm,0001323639
69,152,180 Connect Inc.,[text] [html],4,08/27/2007,7527,/Archives/edgar/data/1323639/000117911007017403/0001179110-07-017403-index.htm,0001323639
70,152,180 Connect Inc.,[text] [html],3,08/27/2007,11863,/Archives/edgar/data/1323639/000117911007017398/0001179110-07-017398-index.htm,0001323639
71,152,180 Connect Inc.,[text] [html],3,08/27/2007,11600,/Archives/edgar/data/1323639/000117911007017394/0001179110-07-017394-index.htm,0001323639
72,152,180 Connect Inc.,[text] [html],4,08/27/2007,5941,/Archives/edgar/data/1323639/000117911007017405/0001179110-07-017405-index.htm,0001323639
73,152,180 Connect Inc.,[text] [html],3,08/27/2007,11760,/Archives/edgar/data/1323639/000117911007017399/0001179110-07-017399-index.htm,0001323639
74,152,180 Connect Inc.,[text] [html],3,08/27/2007,11876,/Archives/edgar/data/1323639/000117911007017396/0001179110-07-017396-index.htm,0001323639
75,152,180 Connect Inc.,[text] [html],3,08/27/2007,11850,/Archives/edgar/data/1323639/000117911007017400/0001179110-07-017400-index.htm,0001323639
76,152,180 Connect Inc.,[text] [html],4,08/27/2007,5448,/Archives/edgar/data/1323639/000135764307000050/0001357643-07-000050-index.htm,0001323639
77,152,180 Connect Inc.,[text] [html],3,08/27/2007,11824,/Archives/edgar/data/1323639/000117911007017406/0001179110-07-017406-index.htm,0001323639
78,152,1832 Asset Management L.P.,[text] [html],SC 13G,07/08/2014,23965,/Archives/edgar/data/944388/000106299314004073/0001062993-14-004073-index.htm,0000944388
79,152,1832 Asset Management L.P.,[text] [html],SC 13G,05/09/2014,23796,/Archives/edgar/data/944388/000106299314002704/0001062993-14-002704-index.htm,0000944388
