Name,Industry,Ticker,Total,Governance,Social,Environment,Date
Elis,Commercial Services & Supplies,ELSSF US Equity,70.1,60.0,90.8,57.5,Sep-18
Enagas,Utilities,ENGGF US Equity,83.1,78.9,92.7,70.9,Sep-18
Encana Corporation,Oil & Gas,ECA US Equity,63.0,68.2,74.1,26.6,Sep-18
Endesa SA,Utilities,ELEZF US Equity,70.5,72.2,93.3,31.8,Sep-18
Enel,Utilities,XQKGF US Equity,69.3,80.8,77.2,46.8,Sep-18
Energa,Utilities,ENG PW Equity,63.0,55.0,70.6,52.8,Sep-18
Energias de Portugal,Utilities,ELCPF US Equity,81.1,61.1,83.7,93.2,Sep-18
Engie,Utilities,GDSZF US Equity,62.6,58.9,69.3,54.6,Sep-18
Eni,Oil & Gas,EIPAF US Equity,78.7,55.5,91.5,76.9,Sep-18
EOG Resources Inc,Oil & Gas,EOG US Equity,56.8,57.3,58.0,53.1,Sep-18
Eon,Utilities,ENAKF US Equity,82.2,78.9,78.6,90.9,Sep-18
Equinor,Oil & Gas,STOHF US Equity,77.5,81.6,84.8,52.8,Sep-18
Ericsson,Technology Hardware,ERIXF US Equity,79.3,77.3,72.2,100.0,Sep-18
Erste Group,Banks,EBKOF US Equity,77.7,79.3,79.7,69.5,Sep-18
Essity,Household & Personal Care,ETTYF US Equity,62.1,58.5,75.0,57.9,Sep-18
Estée Lauder,Household & Personal Care,EL US Equity,57.1,54.6,60.0,57.4,Sep-18
Eurazeo,Holding & Investment companies,EUZOF US Equity,84.8,78.0,90.8,100.0,Sep-18
Eurocommercial Properties,Real Estate,SEPYF US Equity,39.3,70.0,100.0,6.3,Sep-18
Eurofins Scientific,Pharmaceuticals & Biotechnology,ERFSF US Equity,33.6,32.3,34.8,No data,Sep-18
Europcar Mobility Group,Commercial Services & Supplies,EUCAR FP Equity,59.5,75.0,70.0,10.0,Sep-18
Eutelsat,Telecom Services,EUTLF US Equity,40.7,66.7,40.6,12.7,Sep-18
Evonik,Chemicals,EVKIF US Equity,75.6,73.3,94.0,58.3,Sep-18
ExxonMobil,Oil & Gas,XOM US Equity,73.3,63.6,81.2,65.6,Sep-18
Facebook,Media,FB US Equity,48.3,37.8,56.9,45.7,Sep-18
Faurecia,Automobiles & Components,FURCF US Equity,58.0,57.9,48.2,70.0,Sep-18
FCA,Automobiles & Components,FCAU US Equity,66.3,62.1,72.7,63.9,Sep-18
Ferrari NV,Automobiles & Components,RACE US Equity,58.1,65.0,78.2,24.4,Sep-18
Ferrovial,Construction & Building Materials,CCIDF US Equity,74.1,60.0,71.9,88.9,Sep-18
Foncière Lyonnaise,Real Estate,FONYF US Equity,73.6,42.9,100.0,85.0,Sep-18
Fortum,Utilities,FOTUF US Equity,68.4,82.2,74.1,47.7,Sep-18
Fraport AG,Transportation Infrastructure,FPRUF US Equity,63.2,65.6,82.0,20.0,Sep-18
Fresenius Medical Care AG & Co KGAA,Health Care Equipment & Services,FMCQF US Equity,56.2,48.3,66.7,No data,Sep-18
Fresenius SE & Co. KGaA,Health Care Equipment & Services,FSNUF US Equity,50.2,47.9,53.3,No data,Sep-18
Galp Energia,Oil & Gas,GLPEF US Equity,86.0,67.3,90.4,100.0,Sep-18
Garanti Bank,Banks,TKGBF US Equity,64.8,46.7,80.0,90.0,Sep-18
GEA Group AG,Capital Goods,MGTAF US Equity,54.0,71.1,63.0,30.0,Sep-18
Geberit,Construction & Building Materials,GBERF US Equity,83.3,52.9,92.1,94.4,Sep-18
Gecina,Real Estate,GECFF US Equity,83.2,62.7,100.0,87.5,Sep-18
Getlink,Transportation Infrastructure,GRPTF US Equity,73.1,78.9,75.8,60.0,Sep-18
Givaudan,Chemicals,GVDBF US Equity,76.9,82.5,26.7,78.9,Sep-18
GlaxoSmithKline,Pharmaceuticals & Biotechnology,GLAXF US Equity,67.9,68.8,67.0,No data,Sep-18
Glencore,Metals & Mining,GLCNF US Equity,72.5,66.3,71.2,77.3,Sep-18
Goldman Sachs,Banks,GS US Equity,70.0,75.6,54.0,80.0,Sep-18
Grand City Properties S.A.,Real Estate,GRNNF US Equity,63.2,70.0,100.0,50.0,Sep-18
Greencore Group plc,Food,GNCGF US Equity,68.9,62.5,99.5,12.0,Sep-18
Groupe Bruxelles Lambert,Holding & Investment companies,GBLBF US Equity,60.1,44.7,72.3,100.0,Sep-18
Groupe Seb,Consumer Durables,SEBYF US Equity,75.9,77.5,80.4,68.8,Sep-18
Grupa Lotos,Oil & Gas,GPOLF US Equity,55.2,55.0,61.4,43.8,Sep-18
Halkbank,Banks,THBIF US Equity,59.7,36.0,81.3,90.0,Sep-18
Hammerson,Real Estate,HMSNF US Equity,80.0,77.0,81.3,81.3,Sep-18
Hannover RE,Insurance,HVRRF US Equity,64.6,61.1,87.1,45.0,Sep-18
HeidelbergCement,Construction & Building Materials,HLBZF US Equity,74.5,78.6,75.9,69.1,Sep-18
Heineken,Beverages,HINKF US Equity,69.2,73.9,80.0,55.4,Sep-18
Helmerich & Payne Inc,Oil Services,HP US Equity,45.6,56.8,35.6,55.0,Sep-18
Henkel,Household & Personal Care,HENOF US Equity,73.6,62.1,68.0,85.3,Sep-18
Hennes & Mauritz,Non Food Retail,HMRZF US Equity,55.7,61.7,48.3,63.8,Sep-18
Hermes Intl,Luxury Goods,HESAF US Equity,48.7,75.0,62.2,7.7,Sep-18
Hess Corporation,Oil & Gas,HES US Equity,74.7,65.0,79.1,76.2,Sep-18
Hochtief,Construction & Building Materials,HOCFF US Equity,69.0,75.7,69.8,62.2,Sep-18
HSBC Holdings PLC,Banks,HBCYF US Equity,63.5,72.8,40.0,75.0,Sep-18
Hugo Boss,Luxury Goods,HUGSF US Equity,66.7,85.8,67.5,48.1,Sep-18
IAG,Transportation,BABWF US Equity,53.0,87.4,58.0,17.0,Sep-18
Iberdrola,Utilities,IBDSF US Equity,77.4,64.4,74.3,93.2,Sep-18
IBM,Software & IT Services,IBM US Equity,68.1,68.9,75.4,53.6,Sep-18
Icade,Real Estate,CDMGF US Equity,84.1,67.0,100.0,86.9,Sep-18
Iliad,Telecom Services,ILIAF US Equity,47.6,60.8,46.1,39.6,Sep-18
IMI,Capital Goods,IMIAF US Equity,67.9,70.7,64.0,68.0,Sep-18
Imperial Brands,Tobacco,IMBBF US Equity,60.9,57.0,69.0,56.4,Sep-18
Inditex,Non Food Retail,IDEXF US Equity,63.3,41.7,57.8,82.5,Sep-18
Indra,Software & IT Services,ISMAF US Equity,51.6,76.3,47.3,27.9,Sep-18
Infineon Technologies,Technology Hardware,IFNNF US Equity,62.4,63.3,85.2,36.5,Sep-18
Informa,Media,IFPJF US Equity,73.1,88.6,62.5,60.0,Sep-18
ING Group,Banks,INGVF US Equity,73.2,70.4,68.0,90.0,Sep-18
Ingenico,Technology Hardware,INGIF US Equity,86.4,83.3,100.0,70.0,Sep-18
Inmarsat,Telecom Services,IMASF US Equity,43.2,78.6,41.9,16.8,Sep-18
Innogy,Utilities,IGY GR Equity,61.6,35.6,75.4,60.5,Sep-18
Intercontinental Hotels,Hotels Restaurants & Leisure,IC1G GR Equity,54.5,76.7,56.2,34.1,Sep-18
Intertek,Commercial Services & Supplies,IKTSF US Equity,57.0,82.3,68.8,26.5,Sep-18
Intesa Sanpaolo,Banks,IITSF US Equity,74.2,65.0,93.7,69.5,Sep-18
Intu Properties,Real Estate,CCRGF US Equity,65.2,69.0,100.0,45.3,Sep-18
Isbank,Banks,TYIBF US Equity,66.8,57.8,81.3,70.0,Sep-18
Italgas,Utilities,IG IM Equity,60.2,65.6,74.1,33.2,Sep-18
ITV plc,Media,ITVPF US Equity,59.3,88.9,66.7,12.0,Sep-18
J Sainsbury,Food Retailing,JSNSF US Equity,74.8,81.9,65.0,91.0,Sep-18
JCDecaux,Media,JCDXF US Equity,60.8,77.5,55.2,53.6,Sep-18
Johnson & Johnson,Pharmaceuticals & Biotechnology,JNJ US Equity,71.5,78.8,64.3,No data,Sep-18
JPMorgan Chase & Co.,Banks,JPM US Equity,72.9,72.8,63.0,90.0,Sep-18
Julius Baer Group,Banks,JBARF US Equity,65.0,70.6,64.4,49.5,Sep-18
K+S,Chemicals,KPLUF US Equity,63.5,80.0,81.3,37.5,Sep-18
KBC,Banks,KBCSF US Equity,77.2,74.8,68.0,99.5,Sep-18
Kering,Luxury Goods,PPRUF US Equity,61.0,65.6,72.7,42.3,Sep-18
Kerry,Food,KRYAF US Equity,67.7,66.1,76.7,60.7,Sep-18
Kimberly-Clark Corporation,Household & Personal Care,KMB US Equity,70.5,81.3,58.0,68.8,Sep-18
Kingfisher,Non Food Retail,KGFHF US Equity,71.3,71.7,54.8,95.8,Sep-18
Kion Group,Capital Goods,KNNGF US Equity,58.0,53.2,67.8,54.0,Sep-18
Klepierre,Real Estate,KLPEF US Equity,72.9,72.0,100.0,60.0,Sep-18
Korian,Health Care Equipment & Services,KRMDF US Equity,39.4,37.1,41.7,No data,Sep-18
Kosmos Energy,Oil & Gas,8765331Z GN Equity,63.1,61.8,58.6,76.6,Sep-18
KPN,Telecom Services,KKPNF US Equity,68.0,78.9,55.7,83.6,Sep-18
LafargeHolcim,Construction & Building Materials,HCMLF US Equity,79.5,75.7,79.2,82.8,Sep-18
Lagardère,Media,LGDDF US Equity,69.0,89.2,67.5,50.0,Sep-18
Land Securities,Real Estate,LSGOF US Equity,82.4,85.0,100.0,71.9,Sep-18
Lanxess,Chemicals,LNXSF US Equity,65.6,71.7,87.3,40.8,Sep-18
LEG Immobilien AG,Real Estate,LEGIF US Equity,38.2,64.3,100.0,7.5,Sep-18
Legal & General,Insurance,LGGNF US Equity,74.9,78.3,67.1,75.0,Sep-18
Legrand,Capital Goods,LGRVF US Equity,89.9,85.0,94.5,92.3,Sep-18
Leonardo SpA,Aerospace & Defence,FINMF US Equity,81.0,71.4,77.7,100.0,Sep-18
Liberty Global,Telecom Services,LBTYA US Equity,56.1,83.9,56.9,24.0,Sep-18
Lloyds Banking Group,Banks,LLDTF US Equity,68.5,67.8,63.0,80.0,Sep-18
L'Oréal,Household & Personal Care,LRLCF US Equity,69.7,55.4,84.7,72.7,Sep-18
LVMH,Luxury Goods,LVMHF US Equity,57.3,59.2,67.4,43.1,Sep-18
M6,Media,MSXTF US Equity,43.5,62.5,50.9,8.0,Sep-18
Maisons du Monde,Non Food Retail,MDOUF US Equity,73.1,66.7,80.6,65.0,Sep-18
Marathon Oil,Oil & Gas,MRO US Equity,66.2,65.0,56.8,92.5,Sep-18
Marks & Spencer,Non Food Retail,MAKSF US Equity,57.8,65.0,51.5,63.8,Sep-18
Mbank S.A.,Banks,BREJF US Equity,63.1,51.3,80.5,69.5,Sep-18
Mediaset Espana,Media,GETVF US Equity,58.3,65.6,80.4,6.0,Sep-18
Meggitt,Aerospace & Defence,MEGGF US Equity,69.8,68.9,82.8,56.7,Sep-18
Melia Hotels International,Hotels Restaurants & Leisure,SMIZF US Equity,61.7,65.0,80.0,25.0,Sep-18
Merck and Co Inc.,Pharmaceuticals & Biotechnology,MRK US Equity,69.3,74.7,63.9,No data,Sep-18
Merck KGaA,Pharmaceuticals & Biotechnology,MKGAF US Equity,79.6,69.2,90.0,No data,Sep-18
Merlin Properties,Real Estate,MRPRF US Equity,56.8,58.6,100.0,45.0,Sep-18
Metro AG,Food Retailing,MTTWF US Equity,79.4,78.9,76.3,87.9,Sep-18
Molson Coors,Beverages,TAP US Equity,67.0,70.6,95.7,37.5,Sep-18
Moncler,Luxury Goods,MONRF US Equity,76.7,72.2,95.0,16.7,Sep-18
Morgan Stanley,Banks,MS US Equity,64.6,64.4,50.0,89.5,Sep-18
MTU,Aerospace & Defence,MTUAF US Equity,81.6,82.8,74.7,87.5,Sep-18
Munich RE,Insurance,MURGF US Equity,87.3,92.1,67.1,100.0,Sep-18
Murphy Oil,Oil & Gas,MUR US Equity,55.0,66.1,55.8,37.8,Sep-18
Nabors Industries Ltd,Oil Services,NBR US Equity,57.1,77.7,46.7,55.0,Sep-18
National Grid,Utilities,NGGTF US Equity,62.8,78.6,57.8,58.2,Sep-18
National Oilwell Varco,Oil Services,NOV US Equity,51.4,58.2,43.7,61.3,Sep-18
Natixis,Banks,NTXFF US Equity,80.1,81.3,78.0,80.0,Sep-18
Naturgy,Utilities,GASNF US Equity,79.7,66.7,96.5,62.7,Sep-18
Neopost,Commercial Services & Supplies,NPACF US Equity,69.1,80.0,63.6,55.0,Sep-18
Neste,Oil & Gas,NTOIF US Equity,70.1,82.7,71.1,52.8,Sep-18
Nestlé SA,Food,NSRGF US Equity,80.1,76.4,72.3,90.4,Sep-18
Netflix,Internet,NFLX US Equity,35.6,41.7,37.8,29.2,Sep-18
Newfield Exploration,Oil & Gas,NFX US Equity,59.3,60.9,51.8,76.6,Sep-18
Nexans,Capital Goods,NXPRF US Equity,74.1,60.0,77.1,90.0,Sep-18
Nexity,Real Estate,NXYAF US Equity,75.8,83.3,70.8,75.0,Sep-18
Next,Non Food Retail,NXGPF US Equity,51.7,56.7,48.7,53.8,Sep-18
Noble Energy,Oil & Gas,NBL US Equity,68.8,69.6,74.6,52.8,Sep-18
Nokia,Technology Hardware,NKASF US Equity,72.8,83.9,61.8,70.0,Sep-18
Nordea,Banks,NDBHF US Equity,83.0,87.1,83.7,69.5,Sep-18
Norilsk Nickel,Metals & Mining,NILSY US Equity,42.9,18.8,68.8,26.4,Sep-18
Norma Group,Capital Goods,NOEJF US Equity,62.4,61.4,77.1,49.0,Sep-18
Novartis AG,Pharmaceuticals & Biotechnology,NVSEF US Equity,63.8,69.4,58.3,No data,Sep-18
Novo Nordisk,Pharmaceuticals & Biotechnology,NONOF US Equity,80.2,81.9,78.6,No data,Sep-18
Ocado,Food Retailing,OCDGF US Equity,51.2,40.0,70.0,38.3,Sep-18
Occidental Petroleum Corporation,Oil & Gas,OXY US Equity,73.9,68.2,84.6,53.4,Sep-18
Oceaneering International,Oil Services,OII US Equity,64.7,74.1,63.5,55.0,Sep-18
Oerlikon,Technology Hardware,USXHF US Equity,40.5,38.9,67.4,21.0,Sep-18
OMV,Oil & Gas,OMVJF US Equity,72.8,72.0,77.8,60.6,Sep-18
Oracle,Software & IT Services,ORCL US Equity,55.0,48.9,56.2,60.7,Sep-18
Orange,Telecom Services,FNCTF US Equity,68.8,66.7,58.6,90.9,Sep-18
Orpea,Health Care Equipment & Services,ORPEF US Equity,53.0,55.9,50.0,No data,Sep-18
Osram Licht,Capital Goods,OSAGF US Equity,80.5,82.4,84.8,75.0,Sep-18
OTP Group,Banks,OTPBF US Equity,57.8,54.3,68.7,50.0,Sep-18
Patterson-UTI Energy Inc,Oil Services,PTEN US Equity,47.4,70.5,31.6,55.0,Sep-18
Pearson,Media,PSORF US Equity,58.8,79.2,57.1,40.0,Sep-18
PepsiCo,Beverages,PEP US Equity,74.2,73.9,71.5,76.8,Sep-18
Pernod Ricard,Beverages,PDRDF US Equity,75.2,67.0,91.9,66.1,Sep-18
Petrofac,Oil Services,POFCF US Equity,66.1,56.8,62.7,87.5,Sep-18
Petroleum Geo-Services,Oil Services,PGEJF US Equity,64.9,71.4,62.2,62.5,Sep-18
Pfizer,Pharmaceuticals & Biotechnology,PFE US Equity,61.1,82.2,39.9,No data,Sep-18
PGNIG,Oil & Gas,POGWF US Equity,44.9,47.1,40.6,53.1,Sep-18
Philip Morris International,Tobacco,PM US Equity,71.2,63.3,75.9,72.9,Sep-18
Pioneer Natural Resources,Oil & Gas,PXD US Equity,50.5,71.8,44.4,37.5,Sep-18
PKN Orlen,Oil & Gas,PSKOF US Equity,52.4,55.0,54.3,46.9,Sep-18
PKO Bank Polski,Banks,PSZKF US Equity,50.6,46.0,67.1,40.0,Sep-18
Polska Grupa Energetyczna,Utilities,PPOEF US Equity,60.4,54.5,61.6,62.1,Sep-18
Porsche SE,Automobiles & Components,POAHF US Equity,54.7,35.0,86.4,42.2,Sep-18
Praxair Inc,Chemicals,PX US Equity,83.2,70.0,99.8,73.3,Sep-18
Procter & Gamble,Household & Personal Care,PG US Equity,55.8,64.6,51.7,51.2,Sep-18
Prosiebensat1 Media,Media,PBSFF US Equity,55.2,74.2,68.3,8.2,Sep-18
Proximus,Telecom Services,BGAOF US Equity,59.6,58.9,56.9,65.5,Sep-18
Prudential,Insurance,PUKPF US Equity,67.3,66.7,72.1,62.5,Sep-18
PSA Group,Automobiles & Components,PEUGF US Equity,77.8,75.8,89.1,66.7,Sep-18
Publicis Groupe,Media,PGPEF US Equity,51.7,75.8,48.5,31.8,Sep-18
Raiffeisen Bank International,Banks,RAIFF US Equity,80.0,73.9,79.4,99.5,Sep-18
Reckitt Benckiser,Household & Personal Care,RBGPF US Equity,66.1,69.8,58.0,67.7,Sep-18
Red Electrica,Utilities,RDEIF US Equity,80.6,73.3,85.7,78.2,Sep-18
Redes Energeticas Nacionais,Utilities,RENZF US Equity,58.2,46.7,66.1,54.6,Sep-18
Relx NV,Media,RLXXF US Equity,65.0,88.9,57.7,53.6,Sep-18
Relx PLC,Media,RLXXF US Equity,65.0,88.9,57.7,53.6,Sep-18
Rémy Cointreau,Beverages,REMYF US Equity,62.4,63.0,72.9,52.1,Sep-18
Renault,Automobiles & Components,RNSDF US Equity,66.3,77.5,53.6,66.7,Sep-18
Repsol,Oil & Gas,REPYF US Equity,80.2,66.1,86.2,84.0,Sep-18
Rexel,Capital Goods,RXLSF US Equity,74.4,67.9,89.7,62.0,Sep-18
Rheinmetall,Capital Goods,RNMBF US Equity,48.1,51.9,58.6,36.7,Sep-18
Richemont,Luxury Goods,CFRHF US Equity,64.8,78.9,70.8,44.2,Sep-18
Rio Tinto,Metals & Mining,RTPPF US Equity,72.3,76.3,76.5,65.6,Sep-18
Roche,Pharmaceuticals & Biotechnology,RHHVF US Equity,64.8,75.6,53.9,No data,Sep-18
Rolls-Royce,Aerospace & Defence,RYCEF US Equity,73.3,74.3,83.1,60.8,Sep-18
Rotork Plc,Capital Goods,RTOXF US Equity,66.7,70.9,82.3,46.0,Sep-18
Royal Bank of Scotland,Banks,RBSPF US Equity,51.8,37.8,60.0,80.0,Sep-18
Royal Dutch Shell A,Oil & Gas,RYDAF US Equity,76.4,63.6,91.5,54.4,Sep-18
Royal Mail Group,Transportation,ROYMF US Equity,59.8,65.6,63.0,51.5,Sep-18
RTL Group,Media,RGLXF US Equity,55.8,71.7,66.2,17.5,Sep-18
RWE,Utilities,RWNFF US Equity,69.1,66.7,78.0,56.6,Sep-18
Ryanair,Transportation,RYAOF US Equity,32.8,41.1,49.0,9.0,Sep-18
Safran,Aerospace & Defence,SAFRF US Equity,62.2,59.0,71.6,56.7,Sep-18
Sage Group,Software & IT Services,SGGEF US Equity,37.9,62.2,30.4,20.7,Sep-18
Saint-Gobain,Construction & Building Materials,CODGF US Equity,76.5,74.3,88.2,61.1,Sep-18
Saipem,Oil Services,SAPMF US Equity,81.9,66.8,92.9,75.0,Sep-18
Salesforce,Software & IT Services,CRM US Equity,59.8,60.0,70.8,39.3,Sep-18
Salzgitter,Steel,SZGPF US Equity,34.7,51.7,42.2,16.3,Sep-18
Sandvik,Capital Goods,SDVKF US Equity,86.8,89.3,80.3,89.5,Sep-18
Sanofi,Pharmaceuticals & Biotechnology,SNYNF US Equity,72.1,70.9,73.3,No data,Sep-18
Santander Bank Polska SA,Banks,BKZHF US Equity,68.5,49.3,80.9,100.0,Sep-18
SAP,Software & IT Services,SAPGF US Equity,71.0,68.9,80.0,57.1,Sep-18
Sartorius Stedim Biotech,Health Care Equipment & Services,SDMHF US Equity,56.1,45.6,66.7,No data,Sep-18
Sberbank,Banks,AKSJF US Equity,56.2,41.8,73.4,69.5,Sep-18
SBM Offshore,Oil Services,SBFFF US Equity,67.2,77.3,63.5,62.5,Sep-18
Schlumberger,Oil Services,SLB US Equity,69.2,80.6,68.6,55.0,Sep-18
Schneider,Capital Goods,SBGSF US Equity,91.0,86.5,89.5,97.7,Sep-18
Scor,Insurance,SZCRF US Equity,70.0,78.9,87.5,20.0,Sep-18
SEB,Banks,SVKEF US Equity,78.4,82.6,58.0,99.5,Sep-18
Segro PLC,Real Estate,SEGXF US Equity,61.8,56.0,100.0,46.3,Sep-18
SES,Telecom Services,SGBAF US Equity,36.3,55.8,40.8,6.0,Sep-18
Severstal,Steel,SVJTY US Equity,17.5,30.0,8.3,25.0,Sep-18
Shire plc,Pharmaceuticals & Biotechnology,SHPGF US Equity,55.4,68.8,42.0,No data,Sep-18
Siemens,Capital Goods,SMAWF US Equity,83.5,71.1,90.5,89.6,Sep-18
Siemens Gamesa RE,Capital Goods,GCTAF US Equity,73.1,72.7,76.4,70.9,Sep-18
Signify,Capital Goods,SFFYF US Equity,81.2,61.8,88.2,100.0,Sep-18
SKF,Capital Goods,SKUFF US Equity,81.2,75.4,87.6,82.0,Sep-18
Sky,Media,BSYBF US Equity,67.3,76.7,71.3,49.1,Sep-18
Smiths Group,Capital Goods,SMGKF US Equity,57.6,69.0,70.5,37.5,Sep-18
Snam,Utilities,SNMRF US Equity,75.5,76.7,73.2,78.2,Sep-18
Sodexo,Hotels Restaurants & Leisure,SDXOF US Equity,58.1,74.4,57.6,45.5,Sep-18
Software AG,Software & IT Services,SWDAF US Equity,37.1,63.0,30.4,16.4,Sep-18
Solvay SA,Chemicals,SVYSF US Equity,69.9,68.3,56.7,68.3,Sep-18
Sopra Steria Group,Software & IT Services,SRAQF US Equity,55.8,55.0,75.0,0.0,Sep-18
South32,Metals & Mining,SHTLF US Equity,66.4,83.8,60.6,63.8,Sep-18
Spie,Commercial Services & Supplies,SPIWF US Equity,60.6,37.1,77.5,48.9,Sep-18
St. James's Place,Insurance,STJPF US Equity,69.1,61.5,100.0,40.0,Sep-18
Standard Chartered,Banks,SCBFF US Equity,58.7,53.7,49.0,90.0,Sep-18
Standard Life Aberdeen Plc,General Financials,T3V1 GR Equity,61.9,76.7,60.0,20.0,Sep-18
Subsea 7,Oil Services,ACGYF US Equity,62.2,67.9,48.9,87.5,Sep-18
Suez,Utilities,SZEVF US Equity,77.6,72.2,94.3,54.6,Sep-18
Svenska Handelsbanken,Banks,SVNLF US Equity,78.2,74.4,78.0,89.5,Sep-18
Swatch Group,Luxury Goods,SWGAF US Equity,45.5,62.5,54.0,19.2,Sep-18
Swedbank,Banks,SWDBF US Equity,84.3,88.3,68.0,99.5,Sep-18
Swedish Match,Tobacco,SWMAF US Equity,72.7,81.6,77.5,61.4,Sep-18
Swiss RE,Insurance,SSREF US Equity,73.4,77.2,67.5,70.0,Sep-18
Swisscom,Telecom Services,SWZCF US Equity,73.3,75.6,63.5,90.9,Sep-18
Symrise,Chemicals,SYIEF US Equity,71.9,65.8,28.3,74.8,Sep-18
Talanx,Insurance,TNXXF US Equity,67.0,65.6,86.8,45.0,Sep-18
TalkTalk,Telecom Services,TLKTF US Equity,38.2,61.7,43.9,18.2,Sep-18
Tarkett,Consumer Durables,TKFTF US Equity,72.3,37.5,85.5,71.4,Sep-18
Tate & Lyle plc,Food,TATYF US Equity,56.9,80.6,68.2,27.9,Sep-18
Tauron,Utilities,TPE PW Equity,64.7,84.5,67.7,43.8,Sep-18
Technicolor,Technology Hardware,THNRF US Equity,71.9,89.3,62.3,30.0,Sep-18
Tele2,Telecom Services,TLTZF US Equity,58.7,83.0,56.7,42.7,Sep-18
Telefónica Deutschland Holding AG,Telecom Services,TELDF US Equity,56.1,58.9,51.2,63.6,Sep-18
Telefonica SA,Telecom Services,TEFOF US Equity,70.0,63.3,69.1,77.3,Sep-18
Telenor AS,Telecom Services,TELNF US Equity,63.9,80.0,50.7,77.3,Sep-18
Teleperformance,Commercial Services & Supplies,TLPFF US Equity,60.6,67.0,76.2,37.0,Sep-18
Terna,Utilities,TERRF US Equity,79.8,78.9,100.0,47.6,Sep-18
Tesco,Food Retailing,TSCDF US Equity,61.0,72.2,48.3,79.3,Sep-18
The Coca-Cola Company,Beverages,KO US Equity,55.0,60.9,53.9,51.4,Sep-18
T-Mobile US,Telecom Services,TMUS US Equity,43.3,43.3,45.9,38.2,Sep-18
Tullow Oil,Oil & Gas,TUWLF US Equity,71.8,77.9,66.8,76.6,Sep-18
Twenty-First Century Fox,Media,NWS/A EO Equity,35.4,51.7,34.9,18.6,Sep-18
UBI Banca,Banks,BPPUF US Equity,63.5,51.7,63.0,100.0,Sep-18
UBS AG,Banks,UBS US Equity,70.3,75.0,50.0,90.0,Sep-18
UniCredit SpA,Banks,UNCFF US Equity,57.4,43.3,69.0,80.0,Sep-18
Unilever NV,Food,UNLNF US Equity,62.4,73.1,66.7,52.1,Sep-18
Uniper,Utilities,UNPRF US Equity,68.8,78.3,71.3,56.3,Sep-18
Vakifbank,Banks,TKYVF US Equity,60.7,46.0,81.3,70.0,Sep-18
Valeo,Automobiles & Components,VLEEF US Equity,79.2,78.3,80.9,78.3,Sep-18
Vallourec,Oil Services,VLOUF US Equity,67.5,50.4,98.9,60.0,Sep-18
Veolia Environnement,Utilities,VEOEF US Equity,64.6,57.8,76.1,51.4,Sep-18
Verbund,Utilities,OEZVF US Equity,88.2,83.3,87.6,93.2,Sep-18
Vestas Wind Systems,Capital Goods,VWSYF US Equity,84.9,80.4,85.2,90.0,Sep-18
Viacom Inc.,Media,VIAB US Equity,47.6,77.3,51.2,8.0,Sep-18
Vicat,Construction & Building Materials,SDCIF US Equity,61.7,31.4,84.6,52.2,Sep-18
Vinci,Construction & Building Materials,VCISF US Equity,55.3,42.9,63.8,50.0,Sep-18
Vivendi,Media,VIVEF US Equity,55.2,69.2,65.5,19.6,Sep-18
Vodafone,Telecom Services,VODPF US Equity,59.5,74.4,44.6,77.3,Sep-18
Voestalpine AG,Steel,VLPNF US Equity,43.4,76.7,54.6,11.3,Sep-18
Volkswagen,Automobiles & Components,VLKPF US Equity,46.3,47.5,23.6,72.2,Sep-18
Volvo,Capital Goods,VOLVF US Equity,86.5,84.1,75.4,97.5,Sep-18
Vonovia SE,Real Estate,DAIMF US Equity,34.4,57.0,75.0,0.0,Sep-18
VTB Bank,Banks,VTBR LI Equity,48.2,38.0,66.3,49.5,Sep-18
Wacker Chemie,Chemicals,WKCMF US Equity,78.6,68.3,78.3,68.3,Sep-18
Weatherford International Ltd,Oil Services,WFTLF US Equity,71.9,57.7,68.5,100.0,Sep-18
Weir Group,Capital Goods,WEIGF US Equity,62.6,87.9,69.3,32.0,Sep-18
Wendel,Holding & Investment companies,WNDLF US Equity,67.6,56.0,76.2,100.0,Sep-18
Wereldhave,Real Estate,WRDEF US Equity,73.2,85.0,75.0,65.0,Sep-18
Whitbread,Hotels Restaurants & Leisure,WTBCF US Equity,60.8,76.7,62.4,45.5,Sep-18
Wizz Air,Transportation,WZZAF US Equity,51.2,71.7,59.4,0.0,Sep-18
WM Morrison,Food Retailing,MRWSF US Equity,62.6,74.4,52.8,72.4,Sep-18
Wolters Kluwer,Media,WTRWF US Equity,65.7,87.5,59.7,53.6,Sep-18
Workday,Software & IT Services,WDAY US Equity,63.5,62.2,75.4,42.9,Sep-18
Worldline,Software & IT Services,WWLNF US Equity,71.7,65.0,66.7,100.0,Sep-18
WPP Group,Media,WPPGF US Equity,48.2,71.7,43.6,31.8,Sep-18
YapiKredi Bank,Banks,YVKBF US Equity,69.3,47.3,87.5,100.0,Sep-18
Zalando,Non Food Retail,ZLDSF US Equity,47.9,21.7,52.8,53.8,Sep-18
Zurich Insurance Group,Insurance,ZFSVF US Equity,80.9,80.6,67.5,100.0,Sep-18
3i,General Financials,TGOPF US Equity,83.2,87.8,64.7,100.0,Mar-18
ABB,Electrical Equipment,ABLZF US Equity,83.7,81.2,88.4,83.2,Mar-18
AbbVie,Pharmaceuticals,ABBV US Equity,68.5,79.4,57.6,0.0,Mar-18
ABN Amro,Commercial Banks,ABMRF US Equity,80.0,77.8,78.0,90.0,Mar-18
