Name,Industry,Ticker,Total,Governance,Social,Environment,Date
Brown-Forman,Beverages,BF/B US Equity,60.2,62.8,72.9,38.9,Sep-19
BT Group,Telecom Services,BTGOF US Equity,65.3,57.3,61.2,85.7,Sep-19
Burberry,Luxury and Sporting Goods,BBRYF US Equity,66.6,64.7,72.4,58.3,Sep-19
Bureau Veritas,Commercial Services & Supplies,BVRDF US Equity,74.5,64.2,78.2,86.3,Sep-19
Caixabank,Banks,CIXPF US Equity,57.4,45.4,77.8,56.7,Sep-19
Capgemini,Software & IT Services,CAPMF US Equity,73.1,70.4,79.2,65.0,Sep-19
Carlsberg,Beverages,CABJF US Equity,61.3,61.5,80.8,32.8,Sep-19
Carmila,Real Estate,CARM FP Equity,54.5,55.0,68.8,43.6,Sep-19
Carrefour,Food Retailing,CRERF US Equity,68.3,64.9,55.0,95.6,Sep-19
Casino,Food Retailing,CGUIF US Equity,63.1,61.3,67.2,57.8,Sep-19
CBS Corporation,Media,CBS US Equity,49.4,53.1,36.4,73.3,Sep-19
Cellnex,Telecom Services,CLNXF US Equity,58.4,66.5,63.7,35.7,Sep-19
Centrica,Utilities,CPYYF US Equity,75.6,68.4,71.0,86.4,Sep-19
CGG,Oil & Gas,CGPVF US Equity,65.6,65.9,68.5,63.3,Sep-19
CGI,Software & IT Services,GIB US Equity,58.6,56.6,70.4,35.0,Sep-19
Citigroup,Banks,C US Equity,66.4,52.1,72.2,93.3,Sep-19
Clariant,Chemicals,CLZNF US Equity,79.3,66.9,87.3,82.0,Sep-19
Cobham,Aerospace & Defence,CBHMF US Equity,56.5,68.8,61.0,32.2,Sep-19
Cofinimmo,Real Estate,CFMOF US Equity,66.6,58.3,71.9,71.8,Sep-19
Cognizant,Software & IT Services,CTSH US Equity,65.5,58.4,81.1,45.0,Sep-19
Compass Group,Hotels Restaurants & Leisure,CMPGF US Equity,65.3,66.5,68.9,55.0,Sep-19
Constellation Brands,Beverages,STZ US Equity,60.5,54.4,70.9,52.2,Sep-19
Covestro,Chemicals,CVVTF US Equity,65.5,66.6,88.0,37.5,Sep-19
Covivio SA,Real Estate,GSEFF US Equity,75.6,66.1,81.3,81.8,Sep-19
Crédit Agricole SA,Banks,CRARF US Equity,69.2,55.1,76.7,93.3,Sep-19
Credit Suisse,Banks,CSGKF US Equity,61.2,59.2,61.1,66.7,Sep-19
CRH PLC,Construction & Building Materials,CRHCF US Equity,79.0,78.9,84.5,73.0,Sep-19
Croda,Chemicals,COIHF US Equity,76.8,65.9,87.3,75.0,Sep-19
